ProductID,StoreID,StockLevels,SupplierLeadTime,StockoutFrequency,ReorderPoint,WarehouseCapacity,OrderFulfillmentTime
1097,44,852,24,8,120,1558,9
1098,87,751,8,13,185,4885,11
1099,99,420,13,18,15,4470,11
1099,58,887,25,13,159,1333,6
1099,83,714,24,1,28,3435,13
1099,98,360,26,2,197,4537,8
1100,65,483,12,0,189,2801,5
1100,32,38,1,7,106,2804,8
1101,40,208,24,4,92,1187,7
1101,65,574,7,18,70,2141,10
1103,80,224,9,19,18,4822,6
1105,54,43,9,1,151,3430,5
1105,18,287,27,5,43,1370,1
1107,86,863,18,16,170,2967,11
1109,19,161,8,5,23,1391,12
1112,77,81,21,19,159,4115,4
1112,54,560,8,0,128,1682,5
1112,51,967,3,7,183,3882,3
1113,56,562,6,6,50,1231,13
1116,83,609,23,9,151,1264,14
1116,54,676,15,5,150,2939,8
1116,49,145,25,6,134,3682,7
1116,87,425,15,3,145,2853,5
1117,23,921,8,19,84,2266,7
1117,54,385,6,15,20,2982,10
1122,38,953,5,7,145,1480,12
1124,29,923,16,9,68,1615,2
1125,31,929,8,9,50,4225,6
1127,35,38,9,4,33,4172,11
1129,56,425,23,15,160,2891,8
1129,26,563,28,9,159,1371,9
1131,46,89,7,3,57,2051,10
1131,78,364,2,6,125,2043,7
1131,23,821,27,2,47,4237,4
1131,83,795,11,5,61,2631,4
1132,51,867,18,7,56,2851,14
1132,35,313,18,5,29,4429,12
1133,85,392,11,2,48,1801,1
1136,48,805,10,9,86,1768,10
1136,23,843,17,17,173,3216,13
1137,75,902,1,0,22,3697,14
1138,36,152,16,9,99,4274,13
1138,56,928,16,18,61,1479,5
1138,49,812,20,13,34,4641,14
1140,6,62,18,16,23,2184,4
1141,87,945,1,1,21,4010,7
1142,76,411,1,2,53,1748,6
1144,49,453,15,7,176,3226,5
1144,91,578,29,17,158,2377,9
1147,18,649,4,7,88,2536,13
1148,52,956,5,10,20,4564,2
1149,36,304,3,7,145,2159,12
1150,41,390,21,16,85,3710,2
1150,38,554,12,2,93,4691,13
1152,53,174,15,4,56,3369,6
1152,40,836,18,4,38,2882,14
1154,72,878,9,15,79,4314,10
1155,50,56,25,10,183,3126,13
1155,65,874,29,10,130,4198,6
1155,39,710,17,16,39,4976,13
1156,62,477,29,16,166,2407,5
1157,53,674,11,4,90,1833,13
1158,34,809,6,18,116,2282,12
1159,69,301,22,6,124,4029,4
1161,67,351,28,8,121,2660,5
1162,88,746,12,13,102,3267,9
1163,23,87,10,3,195,1079,9
1163,93,567,8,13,91,1181,10
1165,13,904,14,6,88,4349,12
1169,49,31,15,10,44,1178,14
1170,57,75,29,18,192,1339,4
1170,52,814,11,15,118,4246,13
1171,26,608,16,14,137,4974,5
1174,24,409,4,6,20,3090,1
1174,50,653,28,0,81,1436,10
1175,31,156,10,0,146,4636,4
1176,67,715,3,4,27,1673,1
1176,70,816,10,18,172,4324,9
1177,54,382,10,7,134,2282,1
1177,56,436,29,4,170,2186,4
1178,16,140,5,18,150,4039,14
1180,55,353,10,13,148,3099,3
1181,74,159,27,0,82,2909,3
1181,25,883,22,9,188,3797,4
1182,90,89,7,5,65,3844,12
1183,69,841,4,15,26,2435,8
1184,25,326,20,5,91,2339,14
1184,84,774,22,19,133,4312,13
1185,22,697,9,12,164,3572,9
1185,51,325,16,14,180,4360,4
1186,37,932,13,9,93,2402,3
1187,14,346,29,18,10,2828,9
1188,96,716,21,12,63,3383,10
1188,6,286,19,19,40,2497,7
1191,20,990,10,17,196,2651,3
1191,82,284,10,5,96,3525,10
1193,31,405,11,4,167,4296,6
1194,28,990,25,3,85,4354,13
1197,93,101,13,0,140,2887,9
1197,79,617,8,18,93,3574,13
1197,35,931,4,15,142,2252,7
1199,24,102,16,9,28,1191,8
1199,31,843,24,15,85,1027,7
1199,98,770,28,14,10,4118,13
1199,73,524,29,3,110,2554,12
1200,74,864,17,18,116,2781,10
1201,90,934,6,12,171,1246,2
1201,44,558,12,10,168,4907,11
1201,23,140,8,6,71,2111,4
1204,52,216,9,5,56,1519,7
1204,1,978,13,1,181,2386,14
1205,77,759,27,11,197,4663,4
1206,14,38,6,14,107,4005,12
1206,13,493,29,11,42,3823,8
1207,24,879,20,5,131,3879,13
1207,84,388,7,17,47,4437,10
1208,42,667,3,9,192,3513,2
1209,36,190,22,6,181,3132,6
1210,69,244,8,9,27,1504,3
1210,1,159,17,6,111,3471,6
1210,91,653,19,18,165,1590,5
1211,12,60,12,3,65,4964,12
1212,5,192,4,6,189,3654,11
1213,5,368,9,13,110,1581,10
1215,1,895,28,9,148,2660,3
1215,59,894,14,16,151,2515,3
1215,33,508,26,0,186,1530,1
1216,41,822,22,12,15,4106,4
1219,24,475,12,17,23,1420,9
1221,29,285,22,5,197,1683,1
1221,68,722,3,19,129,1329,3
1222,22,836,2,5,72,3615,1
1223,71,432,10,18,191,1163,9
1225,71,157,22,9,141,1319,3
1225,66,707,19,5,154,1620,10
1225,9,796,25,19,179,2298,5
1226,74,901,4,18,100,3184,4
1228,49,917,12,3,58,4628,14
1229,57,773,16,18,168,4963,7
1229,68,846,4,19,172,2056,11
1230,59,307,27,5,95,3789,1
1231,27,744,8,12,33,2585,9
1232,62,69,12,18,137,2853,12
1232,38,732,16,18,71,3701,2
1232,52,666,26,1,11,4294,6
1233,4,649,19,10,187,4176,11
1233,83,855,16,13,21,4988,13
1233,49,783,19,14,144,2298,4
1234,3,387,3,4,53,4313,14
1234,75,190,7,8,20,3284,14
1235,88,635,10,17,151,2734,3
1235,24,782,24,5,112,4813,7
1235,28,917,18,14,15,2925,3
1237,29,677,2,13,98,4921,8
1237,70,11,7,13,90,3719,14
1238,34,966,12,12,19,1616,8
1238,14,190,26,11,22,1441,5
1240,2,272,12,17,48,2862,11
1240,77,833,14,15,18,4991,12
1243,53,387,14,7,82,2171,2
1243,61,706,13,10,176,4517,14
1244,62,31,5,19,47,2905,13
1245,64,41,2,0,198,1021,11
1245,1,601,24,15,128,1294,6
1245,79,338,5,1,64,4634,12
1248,18,931,24,2,147,2434,11
1248,56,135,6,5,84,4721,7
1248,84,10,15,9,131,4673,10
1248,34,798,12,1,117,1078,4
1249,66,647,17,16,189,4244,12
1250,7,575,29,14,41,3749,1
1250,7,495,25,4,189,2225,3
1251,59,134,4,3,182,1833,10
1251,71,374,6,4,184,4674,4
1252,36,189,1,6,21,3903,14
1252,86,259,6,8,154,2620,1
1252,78,216,11,7,13,1367,10
1253,9,829,22,1,120,4189,3
1253,82,430,17,6,60,1747,4
1253,68,722,26,14,56,2165,7
1253,75,803,16,13,102,4293,10
1253,15,294,19,16,18,1268,4
1254,88,61,16,12,164,2765,3
1256,20,257,27,8,166,3337,6
1256,23,650,13,8,159,2112,14
1258,93,555,3,1,88,4674,14
1262,40,387,29,11,58,3645,7
1262,1,555,27,18,83,4644,6
1264,88,743,20,9,168,1477,7
1265,19,532,26,11,23,1533,8
1266,44,645,19,2,144,1370,2
1268,75,489,22,3,39,1687,2
1268,40,39,9,16,100,1863,11
1270,95,925,25,10,25,4266,3
1272,56,272,12,7,180,2138,14
1274,53,294,24,11,149,3856,10
1274,77,912,8,18,40,4570,13
1274,78,481,16,4,105,3725,14
1274,50,395,21,6,97,2348,6
1276,3,685,23,10,76,2565,13
1277,2,877,24,3,164,3252,5
1279,97,439,15,7,196,1209,12
1280,72,401,7,3,127,1537,9
1281,25,192,18,15,33,4196,13
1282,99,674,16,13,150,3994,2
1282,57,521,14,11,35,2166,6
1282,88,220,4,2,149,2323,4
1282,47,479,26,9,42,3295,1
1282,27,920,3,3,129,3481,14
1286,34,312,18,18,110,4879,3
1289,36,664,4,11,48,4559,9
1289,22,581,15,8,48,1725,10
1289,60,323,26,11,180,2048,4
1291,34,788,8,4,37,4642,10
1291,75,996,1,6,52,1754,6
1292,5,160,5,2,195,2053,7
1293,82,237,10,10,171,1306,13
1296,89,755,3,18,134,3104,2
1296,91,726,11,4,68,1588,7
1297,95,403,20,0,178,2827,10
1298,90,998,14,0,161,1003,1
1299,59,960,1,18,55,1207,9
1300,14,125,15,15,91,4163,2
1300,18,442,29,5,68,1624,11
1301,3,307,8,19,31,3762,6
1301,39,700,18,7,60,2373,6
1302,36,394,24,19,128,4922,11
1302,5,313,17,2,191,4864,2
1302,63,498,15,14,148,1216,3
1303,25,414,15,0,16,2824,7
1304,43,665,27,0,23,4203,13
1305,62,625,3,0,55,4668,3
1305,42,101,29,17,87,2548,10
1305,2,17,5,1,171,4785,11
1306,14,923,29,5,190,2669,7
1306,93,743,1,19,91,3365,14
1306,17,969,12,16,95,3461,4
1307,99,549,25,18,51,3797,2
1307,51,995,29,16,77,3217,14
1307,42,696,15,8,143,2833,14
1309,73,390,18,3,17,2947,9
1310,32,861,24,10,50,3034,7
1311,13,149,22,16,182,3711,5
1311,8,397,12,9,184,1882,11
1311,87,809,2,14,136,2786,1
1312,13,467,5,12,38,3099,11
1313,66,48,6,0,59,3725,14
1313,27,453,9,10,95,1870,9
1316,72,977,26,8,24,3119,4
1317,83,888,19,12,192,2354,3
1320,24,712,20,15,190,3545,3
1320,85,950,14,14,35,4847,8
1320,12,702,16,19,84,2818,13
1321,32,431,24,9,75,3347,14
1321,95,893,29,13,22,2149,8
1321,75,385,5,13,70,4631,12
1323,1,408,29,2,55,3466,14
1324,26,238,25,3,152,2534,6
1324,87,578,11,2,106,3250,1
1324,83,243,5,17,79,3626,8
1325,36,59,12,14,108,1913,8
1326,98,142,11,0,141,3626,9
1326,80,911,14,3,99,4175,2
1327,67,816,16,18,112,4744,9
1328,13,282,19,6,110,2606,13
1328,70,510,4,5,106,3162,5
1329,84,227,1,5,120,4881,9
1333,77,974,18,13,183,2721,12
1334,98,1,6,10,87,3859,13
1337,49,42,29,16,25,4369,2
1338,48,809,18,14,168,2056,14
1339,73,56,20,7,111,2131,8
1340,45,116,18,7,120,2889,4
1340,26,631,26,3,37,4490,4
1342,91,362,9,8,121,3921,1
1343,98,508,6,19,56,2425,11
1345,30,807,26,17,195,3533,9
1347,67,927,14,3,171,1366,8
1349,7,726,2,6,148,4604,8
1350,22,461,26,11,107,3163,13
1351,82,830,16,13,38,3290,11
1352,89,167,18,19,56,1304,14
1353,3,654,28,4,142,4904,3
1353,24,660,26,5,169,1787,8
1355,64,557,6,7,195,3725,1
1355,78,157,16,18,134,2848,8
1355,93,392,1,15,90,2190,3
1355,28,767,1,14,152,4230,11
1356,16,159,3,7,28,2392,9
1357,78,701,16,12,103,3749,12
1358,53,76,11,5,142,2865,6
1358,93,797,13,6,19,3095,10
1359,80,253,27,0,121,4266,13
1360,79,21,25,0,189,1755,1
1361,61,418,18,2,111,4708,4
1361,26,677,11,10,68,3553,3
1362,22,735,20,16,174,3317,4
1363,57,619,18,15,83,2860,8
1364,34,892,5,18,139,1158,11
1364,84,568,12,3,115,2457,3
1368,13,581,5,9,183,3647,8
1368,13,501,20,13,30,3667,12
1368,63,615,28,16,140,4353,6
1369,3,13,9,7,57,2785,7
1371,91,31,16,5,18,4593,9
1372,77,332,8,11,160,4005,6
1373,61,693,12,14,36,4920,10
1375,60,518,22,1,107,1005,8
1377,47,265,5,16,148,4109,13
1377,85,26,19,16,67,1301,8
1378,27,266,29,16,198,1349,3
1379,89,538,9,15,93,3562,6
1380,63,422,13,18,115,3106,4
1381,84,889,13,12,27,3710,3
1382,85,865,20,9,21,3083,11
1382,36,107,27,18,111,4080,5
1383,5,886,11,12,169,2325,3
1385,39,155,19,15,164,4766,11
1386,31,460,28,5,100,3110,13
1389,33,867,28,5,121,4910,4
1390,86,193,25,19,112,3397,14
1390,18,29,4,12,170,3401,11
1392,10,127,14,15,52,4295,10
1395,39,267,17,8,135,4869,12
1400,87,688,9,14,194,1068,13
1401,8,217,28,11,176,3551,11
1403,59,298,9,4,40,1520,7
1403,43,591,26,6,99,2612,4
1404,22,101,13,3,155,4084,2
1404,8,443,16,1,77,3145,4
1408,54,691,8,16,186,4055,6
1408,13,740,8,1,76,4183,7
1410,50,661,5,7,146,3920,13
1410,51,420,8,19,151,3333,13
1411,10,494,6,16,98,1474,7
1411,44,562,3,8,42,3839,1
1412,81,486,3,8,77,3734,5
1412,75,478,7,8,54,2575,1
1413,11,487,9,5,189,1880,7
1413,42,742,19,10,111,3113,10
1413,50,462,17,2,21,1250,3
1413,55,537,26,5,68,4315,1
1416,24,730,9,19,130,4036,8
1416,35,900,17,19,114,1242,13
1418,73,355,9,1,166,4171,10
1419,37,75,16,4,90,4886,9
1419,89,316,14,0,131,1414,1
1420,4,814,11,16,188,1284,7
1421,73,302,22,1,185,3085,8
1422,65,938,16,4,130,1762,5
1427,12,322,16,18,19,2218,4
1428,70,204,25,11,122,4077,13
1429,78,192,10,0,47,2075,5
1434,21,532,17,11,38,3148,14
1436,62,711,26,19,102,3928,1
1437,26,731,4,0,45,3389,6
1437,7,615,29,3,199,4427,11
1437,8,625,20,10,10,3129,9
1438,28,383,14,4,21,3522,5
1439,83,57,1,15,133,2058,9
1440,47,848,24,18,137,2155,4
1444,63,391,3,2,180,3177,11
1445,37,627,6,1,117,2801,14
1445,80,563,22,0,154,2431,4
1445,77,297,28,15,117,1654,13
1446,55,253,8,17,188,2763,2
1446,22,213,15,14,62,2136,2
1446,91,64,8,14,110,3796,9
1447,33,735,16,12,167,4594,10
1447,79,6,10,6,137,3269,1
1448,47,337,3,1,138,2385,12
1449,49,848,24,3,42,1088,3
1449,76,57,7,8,46,3638,13
1451,78,2,5,4,80,3439,6
1452,96,639,24,9,117,3261,1
1453,15,793,9,0,30,1711,11
1453,58,349,26,9,161,1632,12
1453,99,806,23,2,186,1793,10
1453,97,989,5,16,123,2042,12
1455,74,950,21,13,192,2856,2
1456,34,152,9,7,60,4811,2
1456,58,846,18,17,194,4857,2
1457,85,173,14,7,84,4128,1
1457,15,546,4,14,55,1416,5
1457,4,876,7,8,83,4924,12
1459,74,943,7,0,58,3408,8
1459,33,405,14,1,55,2902,14
1460,99,493,7,0,34,1787,1
1461,45,656,24,19,161,1629,3
1461,52,485,28,0,97,1837,4
1462,25,794,2,6,126,3469,1
1463,80,995,25,2,153,4308,5
1465,58,988,23,19,58,3089,8
1466,97,638,26,3,188,3233,7
1467,24,566,27,7,49,4361,12
1468,85,905,23,12,187,2384,10
1469,50,977,16,9,114,1234,8
1469,90,765,22,1,67,3468,4
1471,43,522,29,8,111,3750,6
1473,72,353,8,16,172,4831,8
1473,67,985,13,15,181,4424,6
1474,50,790,6,15,178,2431,2
1474,81,972,19,3,42,3908,12
1476,5,658,24,17,123,4353,10
1477,60,52,29,8,90,1875,13
1477,57,422,13,4,135,1522,14
1477,98,653,19,6,41,1280,7
1478,57,89,14,15,99,3399,10
1478,95,40,20,7,171,4403,3
1479,10,10,21,7,63,2997,6
1479,49,631,2,3,18,3491,7
1481,54,397,23,2,145,3327,9
1481,41,280,22,8,76,2571,9
1482,25,34,21,0,60,3314,6
1483,30,476,25,14,192,4150,6
1484,26,652,20,19,136,2013,9
1485,77,355,14,18,75,4786,3
1486,51,463,21,18,122,3849,1
1486,9,249,24,16,184,3462,13
1486,21,416,5,12,144,3109,11
1486,41,190,23,15,184,3072,3
1488,13,734,20,13,164,4520,8
1490,19,75,27,11,71,1473,3
1492,3,956,10,3,190,2835,7
1493,35,921,6,16,166,2309,12
1497,18,725,15,19,173,1537,2
1498,19,721,18,7,86,4121,6
1503,2,650,19,11,98,4702,6
1503,10,80,12,10,181,3665,14
1504,94,794,1,15,40,1947,11
1507,18,383,16,5,93,4135,4
1508,41,765,26,19,157,2399,1
1508,29,331,26,14,164,2744,3
1509,48,710,20,7,182,1307,1
1513,50,556,20,13,116,1374,10
1513,57,298,20,18,69,1685,2
1516,35,430,29,14,145,3491,3
1517,27,403,9,14,99,1066,3
1518,74,859,24,2,67,1813,2
1523,77,591,10,4,31,2927,1
1523,49,862,2,5,131,1405,10
1523,40,585,23,19,161,4597,13
1524,78,859,29,12,107,1507,12
1524,44,687,24,16,139,2847,6
1526,41,560,17,10,178,2371,1
1527,59,16,20,15,114,2811,4
1528,10,608,8,5,183,1975,3
1529,39,895,19,8,56,2509,7
1530,19,66,12,8,87,2101,6
1531,48,922,13,19,108,2811,3
1533,34,494,3,17,133,1046,13
1533,96,104,23,2,73,3839,4
1534,46,689,21,15,144,1880,7
1535,41,999,14,4,99,1890,11
1536,38,503,3,8,96,4550,9
1536,4,475,12,10,88,2086,11
1536,52,459,5,1,174,3771,1
1537,8,35,9,3,103,4509,3
1537,23,549,5,15,178,1700,6
1539,87,676,14,3,79,1264,3
1539,60,727,6,5,79,4817,3
1539,15,813,3,6,126,4523,1
1539,31,523,17,8,38,4190,4
1541,90,244,24,16,185,1514,14
1541,66,181,25,0,21,1349,2
1541,22,379,18,17,127,1557,13
1542,73,564,19,7,15,2821,4
1542,13,985,12,15,112,4242,14
1543,40,516,14,6,155,3403,4
1544,74,137,28,13,180,2143,1
1544,68,827,17,16,177,2734,10
1545,1,768,24,7,144,4613,9
1547,58,188,15,15,20,3230,12
1549,42,241,16,16,31,4471,5
1550,5,324,25,12,18,3425,13
1551,11,355,3,9,137,2864,4
1553,68,386,14,14,116,2974,2
1555,11,64,11,19,31,1163,8
1556,83,907,1,18,90,3189,2
1557,10,0,15,7,12,2918,7
1558,25,714,28,1,76,4880,6
1558,68,754,1,0,186,3582,7
1560,82,1,28,19,102,4643,5
1561,66,719,14,5,48,3444,12
1563,86,123,2,7,187,3152,7
1564,29,301,28,5,110,1073,6
1564,39,640,8,19,199,2745,11
1566,27,729,25,4,175,2136,9
1566,75,446,6,13,199,2203,6
1566,91,247,20,1,150,4093,6
1566,49,853,15,5,194,1711,5
1569,63,471,26,17,33,1808,5
1570,68,650,1,10,68,4903,10
1571,45,87,9,11,190,1046,4
1572,91,700,13,2,146,3454,2
1573,25,530,14,3,138,1613,11
1574,29,773,1,9,194,4147,9
1574,61,458,22,11,136,4029,8
1575,45,13,22,7,51,2140,4
1575,23,71,26,10,81,3749,11
1576,89,659,28,10,79,4444,5
1576,9,255,23,12,93,2822,3
1577,33,151,15,8,108,2255,3
1577,88,64,28,13,61,4849,11
1578,69,552,2,14,134,4043,4
1578,61,202,10,15,108,3275,1
1580,81,865,21,13,51,1354,5
1581,47,114,6,5,179,2075,8
1581,90,575,1,17,16,4303,14
1581,49,75,1,7,187,4188,5
1584,72,358,4,7,118,3268,10
1585,85,538,29,10,33,1637,13
1585,84,505,17,13,40,3001,1
1587,69,303,12,6,78,4935,4
1588,43,358,15,17,34,4170,14
1589,74,873,27,7,119,3729,9
1589,47,602,27,1,114,3356,9
1589,45,561,14,4,95,4836,5
1589,87,241,16,9,55,2687,11
1590,63,598,17,18,159,4262,7
1592,70,511,17,13,108,2127,3
1592,47,408,29,12,104,4537,12
1593,90,969,20,7,138,3194,2
1593,69,323,21,4,25,2948,7
1594,1,784,17,7,114,3200,12
1594,13,807,2,12,115,1434,5
1595,3,263,23,18,34,3695,14
1595,42,53,19,12,65,1435,7
1596,93,156,3,13,11,4933,2
1597,32,610,8,19,187,3572,6
1600,54,643,26,19,144,3811,10
1601,23,838,28,10,81,2179,1
1603,72,857,19,6,37,2104,3
1604,85,983,12,8,150,1799,14
1605,18,675,23,11,74,1782,5
1605,16,821,14,12,120,4293,9
1608,32,127,26,7,131,4264,1
1608,70,161,14,12,199,2867,13
1610,61,61,15,14,145,1389,8
1611,63,584,18,8,142,4099,14
1611,69,720,9,4,81,3684,13
1612,27,581,21,18,122,3264,5
1613,14,354,1,9,76,1959,2
1614,19,452,9,12,55,3839,13
1614,17,987,6,3,139,3946,6
1614,3,135,21,7,133,2607,6
1614,95,735,4,14,63,3084,13
1614,58,800,5,15,118,2495,11
1616,93,300,19,17,55,1463,14
1617,28,349,28,1,46,3674,3
1620,46,254,6,2,122,1980,12
1620,98,260,4,7,98,2445,6
1620,7,368,14,16,183,2633,6
1620,71,427,26,3,143,2924,12
1621,39,537,10,5,141,2140,11
1622,60,364,14,17,174,3021,2
1623,16,631,27,16,165,3788,11
1624,67,190,1,14,147,1125,13
1628,88,829,26,16,181,2567,1
1629,16,438,16,4,180,4276,2
1631,65,12,3,19,174,1105,12
1633,53,806,27,15,54,1298,5
1634,89,618,13,14,159,3547,3
1640,72,120,11,7,190,3241,6
1643,52,701,2,2,158,4915,3
1645,20,232,26,10,64,1556,9
1647,42,565,19,6,139,1250,6
1648,81,821,17,18,103,1433,6
1649,26,430,29,7,86,3389,13
1651,56,991,29,14,52,3027,8
1652,27,935,2,8,122,2215,2
1654,89,215,15,14,141,3519,11
1654,99,12,2,6,18,3624,12
1655,13,773,27,16,138,3129,9
1657,45,51,23,13,168,1365,5
1658,72,989,21,15,131,2895,3
1658,77,78,1,15,155,1635,5
1660,7,597,22,18,124,4242,8
1660,6,700,3,8,85,1795,10
1661,66,261,24,5,72,1944,5
1661,88,714,8,13,149,1807,14
1661,85,836,12,2,142,1734,7
1663,17,150,16,5,92,4610,5
1663,62,437,22,18,114,4671,5
1663,73,811,6,7,116,3782,13
1665,62,104,2,3,12,1250,11
1665,34,316,16,14,32,1189,6
1665,4,753,7,8,13,1101,13
1666,46,316,18,10,110,1778,10
1666,23,517,14,13,115,1914,12
1666,16,347,28,8,181,4108,1
1666,55,35,20,14,65,2441,12
1668,28,650,24,10,65,2573,12
1669,89,243,14,17,154,3160,2
1669,50,752,21,19,100,1165,9
1670,51,235,5,9,103,3437,11
1670,43,477,5,5,13,4623,1
1670,72,526,5,1,25,2189,13
1672,7,775,21,8,80,2955,12
1672,73,506,3,9,129,1465,12
1672,31,996,3,2,97,1005,8
1674,77,723,14,11,151,3298,3
1674,59,675,11,10,12,4400,7
1675,66,92,17,10,101,1609,5
1675,72,154,5,10,144,1542,5
1676,63,906,27,5,67,1915,11
1677,97,732,15,5,64,4571,6
1678,55,993,11,15,48,3338,1
1683,71,209,8,9,116,1819,12
1683,28,359,1,12,81,4828,1
1684,68,835,8,6,84,1808,3
1685,84,766,12,10,97,3595,10
1685,66,658,23,5,139,4871,12
1685,85,39,15,5,56,3223,4
1686,60,439,22,5,108,1135,10
1687,88,923,23,5,13,3413,10
1688,64,301,13,5,152,3476,9
1688,54,955,11,8,124,1798,9
1690,76,332,9,8,172,3028,4
1690,33,743,1,9,121,2397,10
1694,97,473,20,5,22,3644,7
1694,7,764,28,16,136,1275,2
1695,65,918,2,14,100,1081,10
1695,50,223,20,19,103,2850,6
1696,92,979,8,6,38,4500,10
1696,81,649,5,7,106,4958,7
1701,94,641,16,4,107,2704,3
1701,81,986,18,2,92,1221,14
1701,40,138,16,17,41,2724,11
1702,84,941,29,9,112,4716,8
1705,93,235,14,2,198,4197,2
1709,92,210,3,14,110,2663,6
1709,56,52,21,18,165,1153,1
1710,61,870,26,12,193,2975,9
1711,85,271,21,19,171,4029,7
1713,74,200,28,17,118,2297,14
1713,64,390,26,9,143,1225,3
1714,39,647,20,9,177,3164,14
1717,79,589,7,6,90,2955,6
1717,5,800,20,13,90,4947,13
1717,99,477,10,18,193,1687,8
1717,70,131,13,19,92,2112,3
1719,29,900,19,18,136,1905,14
1721,74,444,21,17,117,1705,14
1722,51,654,4,0,88,4008,7
1723,41,705,19,9,55,4977,13
1723,30,31,8,4,40,1319,12
1724,16,460,19,18,42,3379,14
1726,10,740,26,12,38,1356,11
1727,13,900,18,17,118,3260,1
1729,1,31,26,16,27,3829,5
1730,50,773,10,9,23,1314,11
1731,62,156,7,14,197,1988,14
1731,27,152,11,9,170,2370,12
1733,74,69,7,15,122,3399,9
1733,82,254,12,3,196,4147,6
1734,11,262,3,11,101,4787,3
